SCATS Number,Location,15 Minutes,Day,Hour,Hour-Sin,Hour-Cos,Lag-15min,Lag-30min,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
4035,BURKE_RD S of BARKERS_RD,2006-10-01 00:00:00,7,0.0,0.0,1.0,17.0,18.0,94,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 00:15:00,7,0.25,0.06540312923014306,0.9978589232386035,94.0,17.0,92,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 00:30:00,7,0.5,0.13052619222005157,0.9914448613738104,92.0,94.0,66,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 00:45:00,7,0.75,0.19509032201612825,0.9807852804032304,66.0,92.0,65,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 01:00:00,7,1.0,0.25881904510252074,0.9659258262890683,65.0,66.0,50,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 01:15:00,7,1.25,0.3214394653031616,0.9469301294951057,50.0,65.0,42,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 01:30:00,7,1.5,0.3826834323650898,0.9238795325112867,42.0,50.0,30,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 01:45:00,7,1.75,0.44228869021900125,0.8968727415326884,30.0,42.0,30,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 02:00:00,7,2.0,0.49999999999999994,0.8660254037844387,30.0,30.0,34,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 02:15:00,7,2.25,0.5555702330196022,0.8314696123025452,34.0,30.0,30,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 02:30:00,7,2.5,0.6087614290087207,0.7933533402912352,30.0,34.0,14,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 02:45:00,7,2.75,0.6593458151000688,0.7518398074789775,14.0,30.0,33,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 03:00:00,7,3.0,0.7071067811865475,0.7071067811865476,33.0,14.0,24,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 03:15:00,7,3.25,0.7518398074789774,0.6593458151000688,24.0,33.0,14,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 03:30:00,7,3.5,0.7933533402912352,0.6087614290087207,14.0,24.0,24,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 03:45:00,7,3.75,0.8314696123025451,0.5555702330196024,24.0,14.0,16,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 04:00:00,7,4.0,0.8660254037844386,0.5000000000000001,16.0,24.0,22,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 04:15:00,7,4.25,0.8968727415326884,0.44228869021900125,22.0,16.0,14,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 04:30:00,7,4.5,0.9238795325112867,0.38268343236508984,14.0,22.0,9,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 04:45:00,7,4.75,0.9469301294951056,0.3214394653031617,9.0,14.0,13,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 05:00:00,7,5.0,0.9659258262890683,0.25881904510252074,13.0,9.0,17,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 05:15:00,7,5.25,0.9807852804032304,0.19509032201612833,17.0,13.0,14,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 05:30:00,7,5.5,0.9914448613738104,0.1305261922200517,14.0,17.0,13,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 05:45:00,7,5.75,0.9978589232386035,0.06540312923014327,13.0,14.0,13,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 06:00:00,7,6.0,1.0,6.123233995736766e-17,13.0,13.0,21,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 06:15:00,7,6.25,0.9978589232386035,-0.06540312923014314,21.0,13.0,23,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 06:30:00,7,6.5,0.9914448613738104,-0.1305261922200516,23.0,21.0,36,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 06:45:00,7,6.75,0.9807852804032304,-0.1950903220161282,36.0,23.0,25,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 07:00:00,7,7.0,0.9659258262890683,-0.25881904510252063,25.0,36.0,30,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 07:15:00,7,7.25,0.9469301294951057,-0.3214394653031616,30.0,25.0,32,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 07:30:00,7,7.5,0.9238795325112868,-0.3826834323650895,32.0,30.0,47,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 07:45:00,7,7.75,0.8968727415326884,-0.44228869021900113,47.0,32.0,59,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 08:00:00,7,8.0,0.8660254037844387,-0.49999999999999983,59.0,47.0,62,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 08:15:00,7,8.25,0.8314696123025451,-0.5555702330196024,62.0,59.0,58,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 08:30:00,7,8.5,0.7933533402912352,-0.6087614290087207,58.0,62.0,66,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 08:45:00,7,8.75,0.7518398074789774,-0.6593458151000688,66.0,58.0,99,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 09:00:00,7,9.0,0.7071067811865476,-0.7071067811865475,99.0,66.0,79,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 09:15:00,7,9.25,0.659345815100069,-0.7518398074789773,79.0,99.0,88,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 09:30:00,7,9.5,0.6087614290087209,-0.793353340291235,88.0,79.0,109,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 09:45:00,7,9.75,0.5555702330196025,-0.831469612302545,109.0,88.0,124,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 10:00:00,7,10.0,0.49999999999999994,-0.8660254037844387,124.0,109.0,144,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 10:15:00,7,10.25,0.4422886902190017,-0.8968727415326881,144.0,124.0,103,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 10:30:00,7,10.5,0.3826834323650899,-0.9238795325112867,103.0,144.0,153,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 10:45:00,7,10.75,0.32143946530316175,-0.9469301294951056,153.0,103.0,136,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 11:00:00,7,11.0,0.258819045102521,-0.9659258262890682,136.0,153.0,143,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 11:15:00,7,11.25,0.19509032201612816,-0.9807852804032304,143.0,136.0,158,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 11:30:00,7,11.5,0.130526192220052,-0.9914448613738104,158.0,143.0,144,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 11:45:00,7,11.75,0.06540312923014312,-0.9978589232386035,144.0,158.0,144,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 12:00:00,7,12.0,1.2246467991473532e-16,-1.0,144.0,144.0,164,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 12:15:00,7,12.25,-0.06540312923014287,-0.9978589232386035,164.0,144.0,167,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 12:30:00,7,12.5,-0.13052619222005177,-0.9914448613738104,167.0,164.0,167,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 12:45:00,7,12.75,-0.19509032201612792,-0.9807852804032305,167.0,167.0,203,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 13:00:00,7,13.0,-0.2588190451025208,-0.9659258262890683,203.0,167.0,184,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 13:15:00,7,13.25,-0.32143946530316153,-0.9469301294951057,184.0,203.0,158,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 13:30:00,7,13.5,-0.38268343236508967,-0.9238795325112868,158.0,184.0,174,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 13:45:00,7,13.75,-0.44228869021900147,-0.8968727415326881,174.0,158.0,161,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 14:00:00,7,14.0,-0.4999999999999998,-0.8660254037844388,161.0,174.0,176,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 14:15:00,7,14.25,-0.555570233019602,-0.8314696123025455,176.0,161.0,167,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 14:30:00,7,14.5,-0.6087614290087207,-0.7933533402912352,167.0,176.0,160,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 14:45:00,7,14.75,-0.6593458151000688,-0.7518398074789775,160.0,167.0,152,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 15:00:00,7,15.0,-0.7071067811865471,-0.7071067811865479,152.0,160.0,144,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 15:15:00,7,15.25,-0.7518398074789773,-0.6593458151000691,144.0,152.0,146,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 15:30:00,7,15.5,-0.7933533402912349,-0.6087614290087209,146.0,144.0,156,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 15:45:00,7,15.75,-0.8314696123025452,-0.5555702330196022,156.0,146.0,180,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 16:00:00,7,16.0,-0.8660254037844384,-0.5000000000000004,180.0,156.0,158,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 16:15:00,7,16.25,-0.8968727415326883,-0.44228869021900136,158.0,180.0,152,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 16:30:00,7,16.5,-0.9238795325112868,-0.3826834323650895,152.0,158.0,154,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 16:45:00,7,16.75,-0.9469301294951056,-0.3214394653031618,154.0,152.0,176,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 17:00:00,7,17.0,-0.9659258262890683,-0.25881904510252063,176.0,154.0,184,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 17:15:00,7,17.25,-0.9807852804032303,-0.19509032201612866,184.0,176.0,190,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 17:30:00,7,17.5,-0.9914448613738104,-0.13052619222005163,190.0,184.0,198,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 17:45:00,7,17.75,-0.9978589232386035,-0.06540312923014273,198.0,190.0,151,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 18:00:00,7,18.0,-1.0,-1.8369701987210297e-16,151.0,198.0,135,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 18:15:00,7,18.25,-0.9978589232386036,0.06540312923014237,135.0,151.0,145,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 18:30:00,7,18.5,-0.9914448613738105,0.13052619222005127,145.0,135.0,173,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 18:45:00,7,18.75,-0.9807852804032304,0.1950903220161283,173.0,145.0,134,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 19:00:00,7,19.0,-0.9659258262890684,0.2588190451025203,134.0,173.0,125,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 19:15:00,7,19.25,-0.9469301294951057,0.3214394653031615,125.0,134.0,118,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 19:30:00,7,19.5,-0.923879532511287,0.38268343236508917,118.0,125.0,83,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 19:45:00,7,19.75,-0.8968727415326885,0.442288690219001,83.0,118.0,89,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 20:00:00,7,20.0,-0.8660254037844386,0.5000000000000001,89.0,83.0,109,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 20:15:00,7,20.25,-0.8314696123025455,0.5555702330196018,109.0,89.0,92,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 20:30:00,7,20.5,-0.7933533402912357,0.6087614290087199,92.0,109.0,72,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 20:45:00,7,20.75,-0.7518398074789772,0.6593458151000691,72.0,92.0,73,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 21:00:00,7,21.0,-0.7071067811865477,0.7071067811865474,73.0,72.0,95,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 21:15:00,7,21.25,-0.6593458151000687,0.7518398074789775,95.0,73.0,108,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 21:30:00,7,21.5,-0.6087614290087209,0.7933533402912349,108.0,95.0,96,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 21:45:00,7,21.75,-0.555570233019603,0.8314696123025448,96.0,108.0,84,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 22:00:00,7,22.0,-0.5000000000000004,0.8660254037844384,84.0,96.0,112,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 22:15:00,7,22.25,-0.4422886902190014,0.8968727415326883,112.0,84.0,83,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 22:30:00,7,22.5,-0.38268343236508956,0.9238795325112868,83.0,112.0,65,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 22:45:00,7,22.75,-0.32143946530316186,0.9469301294951056,65.0,83.0,50,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 23:00:00,7,23.0,-0.25881904510252157,0.9659258262890681,50.0,65.0,55,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 23:15:00,7,23.25,-0.19509032201612872,0.9807852804032303,55.0,50.0,46,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 23:30:00,7,23.5,-0.13052619222005168,0.9914448613738104,46.0,55.0,36,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-01 23:45:00,7,23.75,-0.0654031292301428,0.9978589232386035,36.0,46.0,35,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 00:00:00,1,0.0,0.0,1.0,35.0,36.0,35,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 00:15:00,1,0.25,0.06540312923014306,0.9978589232386035,35.0,35.0,33,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 00:30:00,1,0.5,0.13052619222005157,0.9914448613738104,33.0,35.0,31,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 00:45:00,1,0.75,0.19509032201612825,0.9807852804032304,31.0,33.0,15,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 01:00:00,1,1.0,0.25881904510252074,0.9659258262890683,15.0,31.0,13,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 01:15:00,1,1.25,0.3214394653031616,0.9469301294951057,13.0,15.0,15,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 01:30:00,1,1.5,0.3826834323650898,0.9238795325112867,15.0,13.0,8,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 01:45:00,1,1.75,0.44228869021900125,0.8968727415326884,8.0,15.0,6,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 02:00:00,1,2.0,0.49999999999999994,0.8660254037844387,6.0,8.0,6,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 02:15:00,1,2.25,0.5555702330196022,0.8314696123025452,6.0,6.0,13,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 02:30:00,1,2.5,0.6087614290087207,0.7933533402912352,13.0,6.0,8,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 02:45:00,1,2.75,0.6593458151000688,0.7518398074789775,8.0,13.0,11,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 03:00:00,1,3.0,0.7071067811865475,0.7071067811865476,11.0,8.0,10,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 03:15:00,1,3.25,0.7518398074789774,0.6593458151000688,10.0,11.0,4,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 03:30:00,1,3.5,0.7933533402912352,0.6087614290087207,4.0,10.0,9,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 03:45:00,1,3.75,0.8314696123025451,0.5555702330196024,9.0,4.0,5,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 04:00:00,1,4.0,0.8660254037844386,0.5000000000000001,5.0,9.0,7,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 04:15:00,1,4.25,0.8968727415326884,0.44228869021900125,7.0,5.0,7,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 04:30:00,1,4.5,0.9238795325112867,0.38268343236508984,7.0,7.0,15,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 04:45:00,1,4.75,0.9469301294951056,0.3214394653031617,15.0,7.0,12,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 05:00:00,1,5.0,0.9659258262890683,0.25881904510252074,12.0,15.0,22,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 05:15:00,1,5.25,0.9807852804032304,0.19509032201612833,22.0,12.0,20,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 05:30:00,1,5.5,0.9914448613738104,0.1305261922200517,20.0,22.0,27,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 05:45:00,1,5.75,0.9978589232386035,0.06540312923014327,27.0,20.0,36,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 06:00:00,1,6.0,1.0,6.123233995736766e-17,36.0,27.0,64,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 06:15:00,1,6.25,0.9978589232386035,-0.06540312923014314,64.0,36.0,71,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 06:30:00,1,6.5,0.9914448613738104,-0.1305261922200516,71.0,64.0,95,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 06:45:00,1,6.75,0.9807852804032304,-0.1950903220161282,95.0,71.0,120,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 07:00:00,1,7.0,0.9659258262890683,-0.25881904510252063,120.0,95.0,153,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 07:15:00,1,7.25,0.9469301294951057,-0.3214394653031616,153.0,120.0,140,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 07:30:00,1,7.5,0.9238795325112868,-0.3826834323650895,140.0,153.0,165,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 07:45:00,1,7.75,0.8968727415326884,-0.44228869021900113,165.0,140.0,143,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 08:00:00,1,8.0,0.8660254037844387,-0.49999999999999983,143.0,165.0,158,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 08:15:00,1,8.25,0.8314696123025451,-0.5555702330196024,158.0,143.0,140,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 08:30:00,1,8.5,0.7933533402912352,-0.6087614290087207,140.0,158.0,145,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 08:45:00,1,8.75,0.7518398074789774,-0.6593458151000688,145.0,140.0,93,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 09:00:00,1,9.0,0.7071067811865476,-0.7071067811865475,93.0,145.0,118,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 09:15:00,1,9.25,0.659345815100069,-0.7518398074789773,118.0,93.0,181,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 09:30:00,1,9.5,0.6087614290087209,-0.793353340291235,181.0,118.0,163,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 09:45:00,1,9.75,0.5555702330196025,-0.831469612302545,163.0,181.0,161,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 10:00:00,1,10.0,0.49999999999999994,-0.8660254037844387,161.0,163.0,145,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 10:15:00,1,10.25,0.4422886902190017,-0.8968727415326881,145.0,161.0,140,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 10:30:00,1,10.5,0.3826834323650899,-0.9238795325112867,140.0,145.0,131,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 10:45:00,1,10.75,0.32143946530316175,-0.9469301294951056,131.0,140.0,130,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 11:00:00,1,11.0,0.258819045102521,-0.9659258262890682,130.0,131.0,153,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 11:15:00,1,11.25,0.19509032201612816,-0.9807852804032304,153.0,130.0,161,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 11:30:00,1,11.5,0.130526192220052,-0.9914448613738104,161.0,153.0,152,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 11:45:00,1,11.75,0.06540312923014312,-0.9978589232386035,152.0,161.0,170,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 12:00:00,1,12.0,1.2246467991473532e-16,-1.0,170.0,152.0,147,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 12:15:00,1,12.25,-0.06540312923014287,-0.9978589232386035,147.0,170.0,149,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 12:30:00,1,12.5,-0.13052619222005177,-0.9914448613738104,149.0,147.0,147,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 12:45:00,1,12.75,-0.19509032201612792,-0.9807852804032305,147.0,149.0,143,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 13:00:00,1,13.0,-0.2588190451025208,-0.9659258262890683,143.0,147.0,134,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 13:15:00,1,13.25,-0.32143946530316153,-0.9469301294951057,134.0,143.0,142,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 13:30:00,1,13.5,-0.38268343236508967,-0.9238795325112868,142.0,134.0,162,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 13:45:00,1,13.75,-0.44228869021900147,-0.8968727415326881,162.0,142.0,155,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 14:00:00,1,14.0,-0.4999999999999998,-0.8660254037844388,155.0,162.0,147,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 14:15:00,1,14.25,-0.555570233019602,-0.8314696123025455,147.0,155.0,177,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 14:30:00,1,14.5,-0.6087614290087207,-0.7933533402912352,177.0,147.0,157,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 14:45:00,1,14.75,-0.6593458151000688,-0.7518398074789775,157.0,177.0,175,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 15:00:00,1,15.0,-0.7071067811865471,-0.7071067811865479,175.0,157.0,152,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 15:15:00,1,15.25,-0.7518398074789773,-0.6593458151000691,152.0,175.0,143,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 15:30:00,1,15.5,-0.7933533402912349,-0.6087614290087209,143.0,152.0,156,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 15:45:00,1,15.75,-0.8314696123025452,-0.5555702330196022,156.0,143.0,183,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 16:00:00,1,16.0,-0.8660254037844384,-0.5000000000000004,183.0,156.0,181,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 16:15:00,1,16.25,-0.8968727415326883,-0.44228869021900136,181.0,183.0,183,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 16:30:00,1,16.5,-0.9238795325112868,-0.3826834323650895,183.0,181.0,240,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 16:45:00,1,16.75,-0.9469301294951056,-0.3214394653031618,240.0,183.0,203,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 17:00:00,1,17.0,-0.9659258262890683,-0.25881904510252063,203.0,240.0,218,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 17:15:00,1,17.25,-0.9807852804032303,-0.19509032201612866,218.0,203.0,223,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 17:30:00,1,17.5,-0.9914448613738104,-0.13052619222005163,223.0,218.0,251,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 17:45:00,1,17.75,-0.9978589232386035,-0.06540312923014273,251.0,223.0,215,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 18:00:00,1,18.0,-1.0,-1.8369701987210297e-16,215.0,251.0,244,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 18:15:00,1,18.25,-0.9978589232386036,0.06540312923014237,244.0,215.0,202,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 18:30:00,1,18.5,-0.9914448613738105,0.13052619222005127,202.0,244.0,172,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 18:45:00,1,18.75,-0.9807852804032304,0.1950903220161283,172.0,202.0,147,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 19:00:00,1,19.0,-0.9659258262890684,0.2588190451025203,147.0,172.0,146,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 19:15:00,1,19.25,-0.9469301294951057,0.3214394653031615,146.0,147.0,128,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 19:30:00,1,19.5,-0.923879532511287,0.38268343236508917,128.0,146.0,121,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 19:45:00,1,19.75,-0.8968727415326885,0.442288690219001,121.0,128.0,125,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 20:00:00,1,20.0,-0.8660254037844386,0.5000000000000001,125.0,121.0,136,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 20:15:00,1,20.25,-0.8314696123025455,0.5555702330196018,136.0,125.0,93,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 20:30:00,1,20.5,-0.7933533402912357,0.6087614290087199,93.0,136.0,85,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 20:45:00,1,20.75,-0.7518398074789772,0.6593458151000691,85.0,93.0,81,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 21:00:00,1,21.0,-0.7071067811865477,0.7071067811865474,81.0,85.0,115,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 21:15:00,1,21.25,-0.6593458151000687,0.7518398074789775,115.0,81.0,104,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 21:30:00,1,21.5,-0.6087614290087209,0.7933533402912349,104.0,115.0,92,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 21:45:00,1,21.75,-0.555570233019603,0.8314696123025448,92.0,104.0,99,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 22:00:00,1,22.0,-0.5000000000000004,0.8660254037844384,99.0,92.0,99,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 22:15:00,1,22.25,-0.4422886902190014,0.8968727415326883,99.0,99.0,74,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 22:30:00,1,22.5,-0.38268343236508956,0.9238795325112868,74.0,99.0,65,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 22:45:00,1,22.75,-0.32143946530316186,0.9469301294951056,65.0,74.0,51,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 23:00:00,1,23.0,-0.25881904510252157,0.9659258262890681,51.0,65.0,46,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 23:15:00,1,23.25,-0.19509032201612872,0.9807852804032303,46.0,51.0,47,1,100
4035,BURKE_RD S of BARKERS_RD,2006-10-02 23:30:00,1,23.5,-0.13052619222005168,0.9914448613738104,47.0,46.0,44,1,100
